title,first_name,last_name,emp_no,from_date,salary,birth_date
Staff,Hercules,Oppitz,73749,1987-05-15,69369,1954-07-04
Engineer,Kannan,Dulay,73755,1986-07-22,40925,1954-12-29
Engineer,Moni,Strooper,73756,1996-01-06,40000,1952-12-23
Senior Engineer,Moni,Strooper,73756,1996-01-06,40000,1952-12-23
Engineer,Serenella,Sevcikova,73758,1996-07-28,44201,1952-02-15
Senior Engineer,Serenella,Sevcikova,73758,1996-07-28,44201,1952-02-15
Senior Staff,Mark,Birge,73761,1988-01-13,69853,1954-06-03
Engineer,Leaf,Tchuente,73762,1985-11-29,45234,1952-05-08
Senior Engineer,Leaf,Tchuente,73762,1985-11-29,45234,1952-05-08
Engineer,Richara,Gimbel,73765,1997-02-10,69223,1955-12-22
Engineer,Carrsten,DeMori,73777,1999-11-23,44146,1954-03-13
Technique Leader,Janche,Prochazka,73782,1987-09-29,40000,1955-08-11
Technique Leader,Kazunori,Pepe,73790,1986-09-11,61447,1954-06-20
Engineer,Urs,Skafidas,73808,1987-02-12,40000,1952-06-18
Senior Engineer,Urs,Skafidas,73808,1987-02-12,40000,1952-06-18
Senior Engineer,Valeri,Trogemann,73811,1987-04-22,44473,1952-08-16
Senior Staff,Shugo,Koblitz,73812,1988-10-23,70712,1952-04-19
Staff,Shugo,Koblitz,73812,1988-10-23,70712,1952-04-19
Senior Staff,Nikolaos,Veccia,73817,1986-09-22,57197,1954-10-14
Senior Staff,Shaibal,Michaels,73823,1986-03-17,74949,1952-08-10
Staff,Shaibal,Michaels,73823,1986-03-17,74949,1952-08-10
Senior Engineer,Kerryn,Zeilberger,73834,1986-11-24,40000,1954-06-11
Engineer,Leif,Krupka,73835,1993-09-01,83289,1952-04-05
Senior Engineer,Leif,Krupka,73835,1993-09-01,83289,1952-04-05
Senior Staff,Xiaocheng,Beznosov,73841,1985-06-02,71616,1954-09-09
Staff,Xiaocheng,Beznosov,73841,1985-06-02,71616,1954-09-09
Senior Staff,Seongbin,Esteva,73842,1997-11-07,76465,1954-10-22
Senior Staff,Greger,Blokdijk,73855,1992-06-20,70976,1954-09-22
Staff,Greger,Blokdijk,73855,1992-06-20,70976,1954-09-22
Engineer,Moon,Goodrum,73868,1997-06-22,79654,1952-07-29
Senior Engineer,Moon,Goodrum,73868,1997-06-22,79654,1952-07-29
Engineer,Rafail,Duclos,73875,1985-11-18,57532,1955-08-27
Senior Engineer,Rafail,Duclos,73875,1985-11-18,57532,1955-08-27
Assistant Engineer,Katsuyuki,Gente,73880,1986-05-26,40000,1954-04-21
Engineer,Katsuyuki,Gente,73880,1986-05-26,40000,1954-04-21
Senior Engineer,Katsuyuki,Gente,73880,1986-05-26,40000,1954-04-21
Senior Staff,Lihong,Comellas,73883,1993-01-04,82880,1953-01-13
Engineer,Gianluca,Farrow,73885,1996-11-24,40000,1952-03-29
Senior Staff,Rasikan,Rebaine,73891,1985-08-31,80024,1952-11-21
Staff,Rasikan,Rebaine,73891,1985-08-31,80024,1952-11-21
Engineer,Arif,Ernst,73901,1998-09-06,54929,1953-05-29
Senior Staff,Ziya,Syrotiuk,73911,1985-03-11,40000,1952-03-12
Engineer,Atreyi,Smailagic,73914,1988-06-11,40000,1952-03-09
Senior Engineer,Atreyi,Smailagic,73914,1988-06-11,40000,1952-03-09
Engineer,Maja,Rijsenbrij,73921,1988-03-21,40000,1952-05-12
Senior Engineer,Maja,Rijsenbrij,73921,1988-03-21,40000,1952-05-12
Senior Staff,Kagan,Moehrke,73937,1988-11-21,56500,1955-06-27
Staff,Chenxi,Szilard,73943,1990-08-28,40000,1955-10-12
Staff,Gian,Birch,73949,1991-06-30,59361,1954-09-04
Engineer,Georgy,Matzov,73952,1988-04-04,54749,1952-04-20
Senior Engineer,Georgy,Matzov,73952,1988-04-04,54749,1952-04-20
Engineer,Khedija,Schaad,73961,1996-01-02,40000,1955-03-28
Engineer,Tonia,Verhaegen,73965,1998-09-08,40000,1954-10-11
Engineer,Yongdong,Prampolini,73969,1996-10-16,40140,1952-05-01
Senior Staff,Makato,Biron,73972,1985-09-18,75625,1953-06-19
Staff,Makato,Biron,73972,1985-09-18,75625,1953-06-19
Engineer,Ioana,Peltason,73984,1987-01-23,40251,1955-09-29
Senior Engineer,Ioana,Peltason,73984,1987-01-23,40251,1955-09-29
Engineer,Sachar,Yamaashi,73996,1985-08-12,40000,1952-03-06
Senior Engineer,Sachar,Yamaashi,73996,1985-08-12,40000,1952-03-06
Engineer,Stabislas,Choobineh,74000,1992-12-01,40655,1955-04-04
Senior Engineer,Stabislas,Choobineh,74000,1992-12-01,40655,1955-04-04
Engineer,Hilary,Benaini,74014,1991-10-25,44130,1954-02-14
Senior Engineer,Hilary,Benaini,74014,1991-10-25,44130,1954-02-14
Senior Staff,Parke,Lubachevsky,74015,1987-02-11,68789,1953-05-31
Staff,Parke,Lubachevsky,74015,1987-02-11,68789,1953-05-31
Engineer,Qiwen,Baba,74021,1991-11-15,52086,1955-09-28
Senior Engineer,Qiwen,Baba,74021,1991-11-15,52086,1955-09-28
Senior Engineer,Dinkar,Cools,74024,2000-01-18,84359,1953-11-06
Engineer,Paloma,Figueira,74025,1986-02-11,40000,1954-10-17
Senior Engineer,Paloma,Figueira,74025,1986-02-11,40000,1954-10-17
Engineer,Goo,Openshaw,74027,1991-01-09,48363,1953-01-12
Senior Engineer,Goo,Openshaw,74027,1991-01-09,48363,1953-01-12
Engineer,Zorica,Muntz,74038,1993-01-07,62709,1952-05-04
Engineer,Rosine,Kaiserswerth,74042,1987-12-30,83655,1954-01-09
Senior Engineer,Rosine,Kaiserswerth,74042,1987-12-30,83655,1954-01-09
Engineer,Jungsoon,Birta,74046,1994-02-02,55534,1955-11-15
Senior Engineer,Jungsoon,Birta,74046,1994-02-02,55534,1955-11-15
Assistant Engineer,Krister,Mandell,74048,1989-06-29,40000,1954-10-29
Engineer,Krister,Mandell,74048,1989-06-29,40000,1954-10-29
Engineer,Greger,Staylopatis,74050,1994-03-01,40000,1954-07-02
Senior Engineer,Greger,Staylopatis,74050,1994-03-01,40000,1954-07-02
Engineer,Fumitake,Ishibashi,74056,1997-03-28,49164,1952-04-16
Senior Staff,Bluma,Schusler,74069,1987-04-07,75624,1954-01-05
Staff,Bluma,Schusler,74069,1987-04-07,75624,1954-01-05
Senior Staff,Hatem,Vasanthakumar,74084,1987-06-27,59734,1954-01-09
Staff,Hatem,Vasanthakumar,74084,1987-06-27,59734,1954-01-09
Technique Leader,Debaprosad,Porenta,74101,1999-10-30,51287,1955-10-05
Senior Staff,Sailaja,Uchoa,74106,1987-02-16,67742,1953-12-17
Staff,Sailaja,Uchoa,74106,1987-02-16,67742,1953-12-17
Engineer,Kazuhito,Chinal,74113,1988-01-07,74355,1954-03-08
Engineer,Adit,Couchot,74116,1995-07-16,40000,1955-02-09
Senior Engineer,Adit,Couchot,74116,1995-07-16,40000,1955-02-09
Engineer,Otmar,Capobianchi,74121,1999-06-10,40000,1953-02-22
Senior Staff,Sushant,Cappello,74122,1988-01-27,40000,1954-11-26
Staff,Sushant,Cappello,74122,1988-01-27,40000,1954-11-26
Engineer,Dulce,Bala,74126,1987-01-03,64060,1953-10-02
Senior Engineer,Dulce,Bala,74126,1987-01-03,64060,1953-10-02
Senior Staff,Munehiro,Bahl,74151,1988-02-06,76340,1954-11-23
Staff,Oscar,Foong,74154,1985-04-28,88025,1952-02-20
Senior Staff,Bodo,Lovengreen,74156,1985-09-10,40000,1952-03-09
Senior Engineer,Yakichi,Ambroszkiewicz,74164,1991-04-14,48103,1955-08-08
Senior Staff,Shawna,Beidas,74166,1996-05-14,43899,1952-12-25
Staff,Shawna,Beidas,74166,1996-05-14,43899,1952-12-25
Senior Engineer,Eldridge,Baek,74169,1997-08-10,40706,1954-08-06
Engineer,Patricio,Kleiser,74171,1989-11-15,49708,1952-08-06
Engineer,Mariangiola,Conte,74176,1987-03-03,45366,1953-10-21
Senior Engineer,Mariangiola,Conte,74176,1987-03-03,45366,1953-10-21
Senior Staff,Charmane,Azumi,74177,1987-06-04,40000,1952-11-30
Staff,Charmane,Azumi,74177,1987-06-04,40000,1952-11-30
Senior Staff,Takushi,Stasinski,74182,1985-11-07,40000,1953-01-05
Staff,Takushi,Stasinski,74182,1985-11-07,40000,1953-01-05
Senior Staff,Zissis,Suomi,74183,1991-11-26,40000,1952-12-19
Senior Engineer,Demin,Crelier,74184,1986-08-12,61716,1953-09-16
Senior Staff,Nectarios,Landherr,74186,1987-07-18,52913,1953-10-24
Staff,Nectarios,Landherr,74186,1987-07-18,52913,1953-10-24
Engineer,Kersti,Cronau,74188,1991-06-22,41541,1952-11-19
Senior Engineer,Kersti,Cronau,74188,1991-06-22,41541,1952-11-19
Engineer,Fumiya,Falster,74191,1985-09-30,40000,1955-05-05
Senior Engineer,Fumiya,Falster,74191,1985-09-30,40000,1955-05-05
Engineer,Aamer,Schneeberger,74202,1987-10-15,48172,1952-08-29
Senior Engineer,Aamer,Schneeberger,74202,1987-10-15,48172,1952-08-29
Staff,Tooru,Qiwen,74215,1995-12-11,96657,1954-02-03
Technique Leader,Foong,Yamaashi,74222,1994-12-23,47314,1955-08-31
Assistant Engineer,Zvonko,Spell,74233,1992-02-03,40000,1952-06-03
Engineer,Zvonko,Spell,74233,1992-02-03,40000,1952-06-03
Senior Engineer,Zvonko,Spell,74233,1992-02-03,40000,1952-06-03
Senior Staff,Tomofumi,Erdi,74246,1994-07-22,99729,1955-09-15
Staff,Tomofumi,Erdi,74246,1994-07-22,99729,1955-09-15
Senior Staff,Apostol,Hemaspaandra,74258,1986-06-10,40000,1953-11-14
Staff,Apostol,Hemaspaandra,74258,1986-06-10,40000,1953-11-14
Staff,Ohad,Hmelo,74259,1996-05-21,64236,1955-10-16
Senior Staff,Yongdong,Demri,74262,1985-06-22,40000,1953-04-17
Staff,Yongdong,Demri,74262,1985-06-22,40000,1953-04-17
Senior Staff,Guther,Coombs,74271,1992-10-08,79587,1953-02-17
Staff,Guther,Coombs,74271,1992-10-08,79587,1953-02-17
Engineer,Rosita,Gladwell,74273,1987-11-15,40000,1954-10-11
Senior Engineer,Rosita,Gladwell,74273,1987-11-15,40000,1954-10-11
Senior Engineer,Ramya,Bugaenko,74286,1992-10-11,40000,1953-07-01
Engineer,Leaf,Sethi,74301,1986-12-12,45021,1954-12-22
Senior Engineer,Leaf,Sethi,74301,1986-12-12,45021,1954-12-22
Engineer,Kristinn,Henseler,74315,1998-10-26,40000,1953-12-08
Senior Staff,Eran,Desikan,74316,1987-01-18,73441,1954-12-15
Staff,Eran,Desikan,74316,1987-01-18,73441,1954-12-15
Engineer,Katsuo,Yetto,74323,1988-11-03,48439,1952-12-15
Senior Engineer,Katsuo,Yetto,74323,1988-11-03,48439,1952-12-15
Senior Staff,Aloke,Rahier,74327,1993-05-26,40000,1955-10-29
Staff,Aloke,Rahier,74327,1993-05-26,40000,1955-10-29
Engineer,Brigham,Impagliazzo,74332,1988-06-02,42665,1954-09-29
Senior Engineer,Brigham,Impagliazzo,74332,1988-06-02,42665,1954-09-29
Staff,Mahmut,Sigstam,74338,1985-08-13,40000,1952-11-05
Staff,Subbu,Buescher,74339,1996-08-25,40000,1952-04-04
Senior Staff,Jamaludin,Fiutem,74342,1985-06-21,87368,1952-10-26
Staff,Jamaludin,Fiutem,74342,1985-06-21,87368,1952-10-26
Engineer,Shan,Rajala,74353,1998-12-30,51591,1955-09-19
Senior Staff,Aron,Lorys,74354,1988-06-28,40000,1954-02-23
Staff,Aron,Lorys,74354,1988-06-28,40000,1954-02-23
Senior Staff,Mohammad,Lanteri,74358,1987-03-06,71479,1955-07-25
Engineer,Dayanand,Viele,74360,1990-04-04,59711,1954-04-15
Senior Engineer,Dayanand,Viele,74360,1990-04-04,59711,1954-04-15
Engineer,Yechiam,Impagliazzo,74383,1986-08-17,40000,1953-07-02
Senior Engineer,Yechiam,Impagliazzo,74383,1986-08-17,40000,1953-07-02
Engineer,Mokhtar,Miyakawa,74388,1994-05-01,54421,1954-08-16
Senior Engineer,Mokhtar,Miyakawa,74388,1994-05-01,54421,1954-08-16
Engineer,Jaber,Tzvieli,74406,1985-11-05,40514,1955-08-12
Senior Engineer,Jaber,Tzvieli,74406,1985-11-05,40514,1955-08-12
Engineer,Padma,Rodite,74408,1997-04-21,58467,1953-10-02
Engineer,Juichirou,Nitta,74413,1999-11-28,51003,1955-10-01
Staff,Chenye,Walstra,74416,1998-08-21,57943,1955-08-02
Senior Staff,Horward,Marsiglia,74420,1985-08-02,73505,1952-11-17
Staff,Horward,Marsiglia,74420,1985-08-02,73505,1952-11-17
Technique Leader,Shakhar,Pero,74425,1988-02-17,50240,1955-02-10
Senior Staff,Atilio,Hebert,74447,1988-09-08,40000,1954-08-11
Engineer,Ortrun,Radivojevic,74450,1995-01-02,40000,1955-06-26
Engineer,Munenori,Zizka,74452,1998-01-30,40000,1954-04-05
Engineer,Gennady,Guenter,74458,1989-03-01,52323,1955-10-01
Senior Engineer,Gennady,Guenter,74458,1989-03-01,52323,1955-10-01
Engineer,Theirry,Restivo,74481,1996-03-27,40000,1953-05-22
Engineer,Ramya,Salvesen,74484,1997-06-30,76884,1955-10-23
Assistant Engineer,Susanne,Chelton,74493,1988-11-10,54053,1953-03-26
Engineer,Susanne,Chelton,74493,1988-11-10,54053,1953-03-26
Engineer,Jongsuk,Czap,74494,1987-12-07,46311,1954-12-25
Senior Engineer,Jongsuk,Czap,74494,1987-12-07,46311,1954-12-25
Senior Staff,Bedrich,Delaune,74502,1986-04-06,40000,1954-10-30
Staff,Bedrich,Delaune,74502,1986-04-06,40000,1954-10-30
Senior Staff,Tristan,Kading,74503,1987-09-11,45902,1955-10-20
Staff,Tristan,Kading,74503,1987-09-11,45902,1955-10-20
Staff,Becky,Picaronny,74506,1998-12-26,74502,1952-03-30
Engineer,Khun,Percebois,74508,1994-02-17,40000,1953-08-27
Engineer,Shietung,Schicker,74511,1990-04-12,40000,1954-04-26
Senior Staff,Zhigen,Rajcani,74513,1993-02-12,75743,1955-10-26
Staff,Zhigen,Rajcani,74513,1993-02-12,75743,1955-10-26
Engineer,Rosalyn,Benzmuller,74514,1994-01-19,56611,1954-11-06
Senior Engineer,Rosalyn,Benzmuller,74514,1994-01-19,56611,1954-11-06
Staff,Doowon,Lorcy,74532,1987-03-11,79767,1955-10-13
Senior Staff,Sanjay,Samarati,74537,1999-09-10,40000,1954-12-20
Senior Staff,Adin,Naumovich,74542,1988-06-20,74942,1954-05-12
Staff,Adin,Naumovich,74542,1988-06-20,74942,1954-05-12
Engineer,Atilio,Viele,74571,1987-11-12,95687,1952-12-22
Senior Engineer,Atilio,Viele,74571,1987-11-12,95687,1952-12-22
Senior Engineer,Torsten,DeMori,74573,1996-12-22,56150,1952-11-08
Staff,Kenroku,Morris,74574,1993-10-07,80121,1955-01-10
Engineer,Sanjiv,Mundy,74576,1986-03-27,44608,1955-04-30
Senior Engineer,Sanjiv,Mundy,74576,1986-03-27,44608,1955-04-30
Engineer,Youssef,Maliniak,74585,1998-08-18,40000,1955-06-27
Engineer,Kayoko,Berstel,74605,1994-01-19,66119,1953-01-21
Engineer,Divier,Conta,74609,1999-07-01,41187,1955-02-03
Senior Engineer,Aram,Asrin,74610,1996-04-22,47175,1954-11-09
Staff,Yinghua,Boreale,74612,1994-01-15,40000,1953-11-03
Engineer,Sanjiv,Zyda,74618,1996-06-19,50834,1952-09-02
Senior Staff,Gad,Strandh,74634,1987-11-27,40000,1953-04-03
Staff,Gad,Strandh,74634,1987-11-27,40000,1953-04-03
Technique Leader,Heeju,Cooley,74639,1985-02-20,43157,1952-03-02
Assistant Engineer,Billur,Range,74642,1988-03-14,40000,1952-04-26
Engineer,Billur,Range,74642,1988-03-14,40000,1952-04-26
Engineer,Mayuri,Radivojevic,74656,1987-10-05,48554,1952-07-26
Senior Engineer,Mayuri,Radivojevic,74656,1987-10-05,48554,1952-07-26
Senior Engineer,Vishu,Genther,74672,1986-09-07,40000,1952-10-13
Engineer,Marjo,Passafiume,74681,1994-03-15,61850,1953-02-11
Senior Engineer,Marjo,Passafiume,74681,1994-03-15,61850,1953-02-11
Senior Staff,Takanari,Clouatre,74683,1988-07-20,61336,1955-11-21
Staff,Takanari,Clouatre,74683,1988-07-20,61336,1955-11-21
Senior Staff,Oguz,Bernatsky,74684,1991-06-10,64613,1955-12-12
Staff,Oguz,Bernatsky,74684,1991-06-10,64613,1955-12-12
Assistant Engineer,Chuanyi,Feldhoffer,74689,1993-03-10,64963,1952-11-12
Engineer,Kristin,Streit,74690,1988-03-03,60074,1953-10-24
Senior Engineer,Kristin,Streit,74690,1988-03-03,60074,1953-10-24
Engineer,Hauke,Baba,74691,1993-12-08,60436,1954-01-19
Engineer,Bluma,Yamaashi,74695,1987-04-25,51493,1954-12-17
Senior Engineer,Bluma,Yamaashi,74695,1987-04-25,51493,1954-12-17
Assistant Engineer,Moon,Rotem,74699,1986-02-11,40000,1955-01-18
Engineer,Moon,Rotem,74699,1986-02-11,40000,1955-01-18
Senior Engineer,Moon,Rotem,74699,1986-02-11,40000,1955-01-18
Engineer,Fen,Tibblin,74706,1991-09-08,52180,1955-02-21
Senior Engineer,Fen,Tibblin,74706,1991-09-08,52180,1955-02-21
Staff,Lein,Setiz,74710,1995-08-07,60908,1952-12-02
Engineer,Sibyl,Chiodo,74723,1988-09-28,73177,1955-04-28
Senior Engineer,Sibyl,Chiodo,74723,1988-09-28,73177,1955-04-28
Staff,Hironobu,Kleiser,74731,1989-09-11,40000,1954-08-16
Senior Staff,Val,Sabnani,74733,1985-08-27,70874,1953-10-06
Staff,Val,Sabnani,74733,1985-08-27,70874,1953-10-06
Engineer,Troy,Gurbaxani,74742,1988-06-07,40000,1954-04-06
Senior Engineer,Troy,Gurbaxani,74742,1988-06-07,40000,1954-04-06
Technique Leader,Mats,Nitta,74766,1996-11-23,42819,1952-09-18
Staff,Anoosh,Esteva,74772,1996-10-15,64329,1953-09-14
Senior Staff,Beshir,Thibadeau,74779,1985-02-27,64227,1952-05-08
Staff,Beshir,Thibadeau,74779,1985-02-27,64227,1952-05-08
Senior Staff,Sanjit,Shrader,74782,1988-12-12,40000,1954-02-06
Staff,Sanjit,Shrader,74782,1988-12-12,40000,1954-02-06
Engineer,Eckart,Schaaf,74783,1986-07-10,65655,1952-04-08
Senior Engineer,Eckart,Schaaf,74783,1986-07-10,65655,1952-04-08
Engineer,Ulises,Esteva,74795,1990-10-31,40832,1955-07-16
Technique Leader,Mingzeng,Demizu,74802,1988-03-06,49280,1955-08-24
Engineer,Khatoun,Pardalos,74811,1988-11-17,53056,1955-10-09
Senior Engineer,Khatoun,Pardalos,74811,1988-11-17,53056,1955-10-09
Senior Staff,Quingbo,Ranai,74817,1988-12-30,43296,1954-02-04
Staff,Quingbo,Ranai,74817,1988-12-30,43296,1954-02-04
Senior Staff,Vitaly,Gunderson,74837,1986-08-12,40000,1953-12-20
Staff,Vitaly,Gunderson,74837,1986-08-12,40000,1953-12-20
Senior Staff,Takanari,Ratzlaff,74851,1987-01-14,42705,1954-02-02
Staff,Takanari,Ratzlaff,74851,1987-01-14,42705,1954-02-02
Engineer,Masaki,Pavlopoulou,74866,1999-06-15,40000,1953-10-29
Senior Staff,Shuji,Parfitt,74868,1986-08-28,43508,1955-04-08
Staff,Shuji,Parfitt,74868,1986-08-28,43508,1955-04-08
Engineer,Mark,Leaver,74878,1988-09-15,50609,1955-08-02
Senior Engineer,Mark,Leaver,74878,1988-09-15,50609,1955-08-02
Engineer,Yonghoan,Hofman,74883,1993-10-28,40337,1953-05-18
Engineer,Falguni,Jansen,74888,1986-11-12,40000,1955-05-04
Senior Engineer,Falguni,Jansen,74888,1986-11-12,40000,1955-05-04
Senior Staff,Ayonca,Danlos,74897,1986-11-19,50069,1953-02-04
Staff,Ayonca,Danlos,74897,1986-11-19,50069,1953-02-04
Technique Leader,Shietung,Vendrig,74899,1990-10-18,42366,1952-11-29
Senior Staff,Xinan,Farris,74903,1985-04-01,50356,1953-03-09
Staff,Xinan,Farris,74903,1985-04-01,50356,1953-03-09
Engineer,Golgen,Murtha,74907,1985-11-10,40000,1953-10-09
Senior Engineer,Golgen,Murtha,74907,1985-11-10,40000,1953-10-09
Senior Engineer,Xiaopeng,Melter,74914,1987-06-16,71780,1955-07-18
Senior Engineer,Holgard,Rehfuss,74921,1988-11-06,67629,1952-04-27
Assistant Engineer,Etsuo,Milicic,74922,1988-08-25,40000,1952-03-16
Engineer,Etsuo,Milicic,74922,1988-08-25,40000,1952-03-16
Senior Engineer,Etsuo,Milicic,74922,1988-08-25,40000,1952-03-16
Engineer,Geoffry,Pepe,74923,1999-01-14,50867,1953-02-12
Engineer,Manohar,Vendrig,74935,1993-08-13,40000,1952-12-23
Engineer,Mohit,Felcyn,74938,1993-09-11,42244,1955-10-23
Senior Engineer,Mohit,Felcyn,74938,1993-09-11,42244,1955-10-23
Senior Engineer,Rimli,Valiente,74939,1997-04-07,40000,1953-09-06
Engineer,Masato,Greenaway,74944,1988-01-24,52356,1955-03-10
Senior Engineer,Masato,Greenaway,74944,1988-01-24,52356,1955-03-10
Technique Leader,Weidon,Trelles,74950,1999-01-20,40000,1955-03-25
Senior Staff,Mantis,Rissland,74958,1987-12-05,41636,1955-10-12
Staff,Mantis,Rissland,74958,1987-12-05,41636,1955-10-12
Engineer,Tianruo,Vitiello,74961,1997-03-28,73592,1952-04-06
Senior Staff,Owen,Babu,74965,1988-04-24,67482,1954-10-05
Staff,Owen,Babu,74965,1988-04-24,67482,1954-10-05
Staff,Udi,Thorensen,74984,1997-03-06,68929,1954-08-16
Engineer,Yunming,Bharadwaj,75007,1996-01-31,40000,1953-10-20
Senior Engineer,Yunming,Bharadwaj,75007,1996-01-31,40000,1953-10-20
Senior Staff,Moty,Codenie,75011,1988-03-27,40000,1954-02-25
Staff,Moty,Codenie,75011,1988-03-27,40000,1954-02-25
Senior Staff,Lidong,Cannard,75020,1987-11-01,40000,1953-11-21
Staff,Lidong,Cannard,75020,1987-11-01,40000,1953-11-21
Technique Leader,Shahid,Suppi,75039,1994-02-23,63422,1954-12-06
Staff,Rance,Negoita,75042,1999-03-03,64290,1954-12-01
Senior Staff,Roddy,Mansanne,75051,1986-08-19,67846,1952-03-10
Staff,Roddy,Mansanne,75051,1986-08-19,67846,1952-03-10
Senior Staff,Angus,Kroha,75052,1986-10-07,49369,1954-04-12
Staff,Angus,Kroha,75052,1986-10-07,49369,1954-04-12
Senior Staff,Jeanne,Benner,75061,1985-06-14,75234,1954-05-31
Staff,Jeanne,Benner,75061,1985-06-14,75234,1954-05-31
Senior Staff,Insup,Kalorkoti,75064,1987-01-20,40000,1952-08-31
Staff,Insup,Kalorkoti,75064,1987-01-20,40000,1952-08-31
Senior Staff,Chenyi,Sinitsyn,75065,1987-03-08,50867,1953-07-25
Staff,Chenyi,Sinitsyn,75065,1987-03-08,50867,1953-07-25
Senior Staff,Aiman,Mungall,75066,1989-09-02,43279,1955-09-14
Senior Staff,Vasilii,Rando,75068,1988-03-16,51094,1953-07-15
Senior Engineer,Koldo,Gyimothy,75074,1987-12-02,67491,1952-06-18
Senior Staff,Licheng,Ratnakar,75076,1994-04-14,56337,1954-05-17
Staff,Licheng,Ratnakar,75076,1994-04-14,56337,1954-05-17
Staff,Vesna,Gien,75081,2000-01-12,89182,1953-02-19
Engineer,Sorina,Passino,75086,1991-07-22,41895,1952-07-17
Senior Engineer,Sorina,Passino,75086,1991-07-22,41895,1952-07-17
Senior Staff,Faiza,Himler,75096,1986-11-20,68790,1954-02-08
Staff,Faiza,Himler,75096,1986-11-20,68790,1954-02-08
Senior Staff,Lillian,Ladret,75114,1986-06-20,67056,1952-09-28
Staff,Lillian,Ladret,75114,1986-06-20,67056,1952-09-28
Engineer,Arif,Schaar,75126,1989-03-12,40000,1953-11-14
Senior Engineer,Arif,Schaar,75126,1989-03-12,40000,1953-11-14
Senior Staff,Kayoko,Potthoff,75129,1985-09-10,40000,1954-03-05
Staff,Kayoko,Potthoff,75129,1985-09-10,40000,1954-03-05
Senior Staff,Tayeb,Spataro,75133,1990-04-10,56805,1952-08-07
Staff,Tayeb,Spataro,75133,1990-04-10,56805,1952-08-07
Senior Staff,Rimli,Cullers,75134,1988-05-25,72006,1955-04-09
Staff,Rimli,Cullers,75134,1988-05-25,72006,1955-04-09
Staff,Uwe,Speckmann,75142,1999-05-19,81072,1955-05-22
Senior Staff,Weicheng,Gecsei,75151,1992-11-19,40000,1955-03-10
Staff,Weicheng,Gecsei,75151,1992-11-19,40000,1955-03-10
Assistant Engineer,Flemming,Wissmann,75153,1998-04-08,51357,1954-11-18
Senior Staff,Eben,Kropatsch,75158,1991-09-21,47324,1954-01-14
Engineer,Aamod,Snyers,75166,1996-11-14,71375,1955-12-18
Senior Engineer,Xianlong,Kohling,75172,1999-12-09,48451,1953-05-07
Senior Staff,Filipp,Miyakawa,75186,1989-09-29,59874,1952-08-18
Staff,Filipp,Miyakawa,75186,1989-09-29,59874,1952-08-18
Engineer,Khedija,Erie,75189,1988-09-21,61559,1953-08-02
Senior Engineer,Zejun,Speer,75192,1986-11-23,48460,1954-12-29
Senior Staff,Marla,Kenevan,75196,1995-06-23,42682,1953-04-27
Staff,Marla,Kenevan,75196,1995-06-23,42682,1953-04-27
Senior Staff,Boguslaw,Basagni,75201,1986-10-29,62433,1952-09-12
Staff,Boguslaw,Basagni,75201,1986-10-29,62433,1952-09-12
Engineer,Jaroslava,Fujisawa,75218,1988-07-13,51557,1955-01-16
Senior Engineer,Jaroslava,Fujisawa,75218,1988-07-13,51557,1955-01-16
Senior Staff,Bilhanan,Pelc,75221,1986-03-15,40000,1954-09-29
Staff,Bilhanan,Pelc,75221,1986-03-15,40000,1954-09-29
Engineer,Alejandro,Wilfing,75224,1987-12-19,51638,1954-08-14
Senior Engineer,Alejandro,Wilfing,75224,1987-12-19,51638,1954-08-14
Senior Engineer,Nechama,Couchot,75226,1996-06-20,46501,1953-03-08
Senior Engineer,Sadok,Bierman,75228,1986-04-08,40560,1955-03-22
Engineer,Supot,Lorin,75236,1986-04-11,40000,1952-12-23
Senior Engineer,Supot,Lorin,75236,1986-04-11,40000,1952-12-23
Senior Staff,Parto,Junet,75249,1988-08-20,40000,1954-03-12
Staff,Parto,Junet,75249,1988-08-20,40000,1954-03-12
Engineer,Kwee,Schaar,75253,1988-12-21,40000,1952-09-30
Senior Engineer,Kwee,Schaar,75253,1988-12-21,40000,1952-09-30
Engineer,Hidekazu,Imataki,75272,1989-06-04,40000,1953-09-28
Senior Engineer,Hidekazu,Imataki,75272,1989-06-04,40000,1953-09-28
Staff,Arne,Demri,75277,1996-12-12,87230,1953-05-08
Senior Engineer,Shahid,Ranft,75285,1988-03-03,62245,1952-07-18
Staff,Maren,Kobara,75290,1998-01-02,40000,1953-05-03
Senior Staff,Lucien,Cairo,75292,1987-01-10,44885,1955-10-12
Staff,Lucien,Cairo,75292,1987-01-10,44885,1955-10-12
Senior Staff,Selwyn,Gire,75308,1989-09-05,40000,1953-07-26
Staff,Selwyn,Gire,75308,1989-09-05,40000,1953-07-26
Senior Staff,Shih,Weisert,75309,1986-12-26,58381,1955-04-27
Engineer,Yechiam,Stiles,75313,1987-11-11,46597,1953-10-12
Senior Engineer,Yechiam,Stiles,75313,1987-11-11,46597,1953-10-12
Senior Staff,Valter,Ranst,75314,1988-03-03,85932,1954-06-28
Senior Staff,Supot,Versino,75335,1988-06-08,47284,1953-09-17
Staff,Supot,Versino,75335,1988-06-08,47284,1953-09-17
Senior Staff,Sanjit,Katalagarianos,75340,1986-05-18,40000,1953-11-09
Staff,Sanjit,Katalagarianos,75340,1986-05-18,40000,1953-11-09
